team,players_used,avg_age,possession,games,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_clean_sheets,shots,shots_on_target,goals_per_shot,shots_free_kicks,passes_completed,passes,assisted_shots,passes_free_kicks,through_balls,throw_ins,corner_kicks,passes_offsides,passes_blocked,tackles,tackles_won,blocks,clearances,touches,dribbles_completed,dribbles,passes_received,games_complete,points_per_game,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries
Argentina,24,28.4,57.4,7,77,690,15,8,11,4,5,17,0,13,6,53.8,3,95,41,0.12,3,3911,4625,76,119,10,151,39,23,62,123,69,84,124,5388,45,112,3868,41,2,100,115,23,5,2,1,357
Australia,20,28.7,37.8,4,44,360,3,3,3,0,0,7,0,18,12,66.7,2,26,8,0.12,0,1254,1696,17,48,1,98,8,1,41,58,30,64,104,2155,13,46,1236,25,1.5,52,34,1,0,0,0,200
Belgium,20,30.6,57,3,33,270,1,1,1,0,0,5,0,11,8,81.8,2,35,9,0.03,1,1598,1885,29,42,10,49,17,3,34,48,27,33,59,2172,19,45,1579,19,1.33,30,35,3,0,1,0,132
Brazil,26,28.5,56.2,5,55,480,8,6,7,1,1,6,0,10,7,70,2,95,40,0.07,7,2750,3203,70,78,7,102,37,8,40,88,51,60,63,3772,32,110,2718,30,2,63,74,8,1,0,0,271
Cameroon,22,28,41.7,3,33,270,4,4,4,0,0,8,1,15,11,73.3,1,28,16,0.14,1,960,1252,21,45,4,47,12,2,24,42,20,22,71,1571,24,55,943,20,1.33,32,38,2,0,0,0,142
Canada,19,28.2,52,3,33,270,1,1,1,0,1,8,0,15,8,53.3,0,34,4,0.03,1,1307,1586,27,41,1,76,12,8,31,41,23,26,41,1889,31,82,1289,18,0,33,37,8,0,0,0,145
Costa Rica,22,30.6,31.3,3,33,270,3,1,3,0,0,6,0,22,11,54.5,1,12,7,0.25,0,823,1101,7,42,1,43,1,13,22,67,35,42,83,1436,17,37,812,19,1,24,37,13,0,1,0,142
Croatia,21,29.2,54.3,7,77,690,8,8,8,0,0,8,0,31,24,80.6,2,79,26,0.1,1,3766,4523,61,102,12,161,30,11,85,132,83,77,143,5288,40,99,3724,46,1.43,90,90,11,0,1,0,409
Denmark,20,27.5,60,3,33,270,1,1,1,0,0,5,0,11,8,72.7,1,34,10,0.03,0,1598,1944,27,27,0,73,21,5,27,42,27,43,49,2255,10,47,1570,20,0.33,28,23,5,0,0,0,171
Ecuador,18,25.8,53.3,3,33,270,4,2,3,1,1,3,0,4,1,50,1,29,10,0.1,1,1153,1473,20,46,4,69,11,8,23,46,30,33,42,1761,13,43,1145,22,1.33,50,37,8,1,1,0,135
England,20,27,62.8,5,55,450,13,11,12,1,2,1,0,11,7,72.7,3,61,27,0.2,4,2775,3211,46,69,4,86,25,5,46,65,44,48,55,3630,36,78,2734,33,2,53,65,5,2,1,0,227
France,24,27.2,51.3,7,77,660,16,12,14,2,2,8,0,27,19,81.5,1,100,33,0.14,2,3279,3968,80,96,11,134,38,16,65,145,88,71,103,4748,69,145,3235,49,2.29,69,85,16,1,4,0,364
Germany,20,28.1,59.3,3,33,270,6,5,5,1,1,3,0,13,8,61.5,0,68,23,0.07,1,1686,1990,52,37,5,66,25,12,35,50,27,41,24,2311,31,64,1665,18,1.33,26,27,12,1,0,0,164
Ghana,20,26.4,42,3,33,270,5,2,5,0,1,8,0,17,10,64.7,0,25,9,0.2,0,972,1256,18,41,1,56,13,4,25,54,34,37,84,1616,27,57,963,18,1,46,38,4,1,1,0,146
Iran,21,29.3,36.7,3,33,270,4,2,3,1,1,7,0,15,8,53.3,1,32,8,0.09,0,769,1106,26,31,3,56,8,6,24,53,29,37,61,1428,11,34,753,17,1,38,26,6,1,0,0,178
Japan,22,28.8,35.8,4,44,390,5,4,5,0,0,6,0,19,15,84.2,0,44,14,0.11,2,1324,1750,31,43,4,71,19,9,29,70,38,62,101,2234,18,49,1302,24,1.75,58,36,9,0,1,0,220
Korea Republic,21,29,48.3,4,44,360,5,3,5,0,0,6,0,19,11,63.2,1,50,18,0.1,2,1619,2022,36,39,1,79,24,7,33,59,33,31,66,2401,13,54,1593,28,1,45,34,7,0,1,0,175
Mexico,21,29,54,3,33,270,2,1,2,0,0,7,0,6,2,50,1,41,15,0.05,6,1097,1450,25,49,9,63,16,13,33,50,27,31,48,1768,19,43,1081,21,1.33,51,48,13,0,1,0,151
Morocco,25,27.2,39,7,77,660,6,4,6,0,0,9,1,14,10,64.3,4,61,17,0.1,3,2270,2889,41,97,3,126,12,19,47,129,79,86,163,3704,50,126,2236,43,1.57,96,81,19,0,0,1,369
Netherlands,21,27.6,53,5,55,480,10,8,10,0,0,12,1,22,18,86.4,2,42,16,0.24,1,2472,2993,33,66,7,107,19,8,38,91,47,58,97,3509,19,61,2439,31,2.2,87,50,8,0,1,0,241
Poland,21,28.7,37.3,4,44,360,3,1,2,1,2,7,0,28,21,82.1,2,29,5,0.07,1,1169,1531,22,54,1,73,11,1,43,64,30,39,110,1956,17,50,1147,29,1,47,47,1,1,2,0,164
